"","Quantiseq_B.cells","Quantiseq_Macrophages.M1","Quantiseq_Macrophages.M2","Quantiseq_Monocytes","Quantiseq_Neutrophils","Quantiseq_NK.cells","Quantiseq_T.cells.non.regulatory","Quantiseq_CD8.cells","Quantiseq_T.cells.regulatory","Quantiseq_Dendritic.cells","Quantiseq_uncharacterized_cell"
"SAMd3601288319e",0.0280560483391969,0.00285168335887152,0.0468284714980978,0,0.137671665138779,0.0162123399193724,0.0256714128482653,0.00848244728708945,0.0259770960373683,0,0.708248835572959
"SAMba1a34b5a060",0.0228300908736713,0.00498568868389428,0.0150258413610353,0,0.209274723085217,0.00839027087379734,0,0.00129639850647907,0.0122507185025687,0,0.725946268113337
"SAM18a4dabbc557",0.0498374040303456,0.00667402243334341,0.039140448727986,0,0.091876207612453,0.00505077585554773,0,0.00444432812596883,0.0105415231499343,0,0.792435290064421
"SAMfed609955db9",0.0156785795725185,0,0.0258121874602301,0,0.162905580223581,0.00726103168957243,0,0,0.0100298477321129,0,0.778312773321985
"SAMf2aae1443f67",0.012870038489708,0,0.0185207778531615,0,0.163774996997037,0.00579644778113807,0.00473535379095106,0,0.00255744712251956,0,0.791744937965485
"SAM2bba8cb35e48",0.0204665419677964,0.00439544078738076,0.036037720075673,0,0.108989884577955,0.00992626441232813,0,0.00427112376957738,0.0112634758087748,0,0.804649548600515
"SAM5c139c5c1c4f",0.0183127848117411,0,0.0367469740786445,0,0.078984981655512,0.00968057600961726,0,0.00410424623218567,0.0116938721021612,0,0.840476565110138
"SAM6780ed436b55",0.0395973909606921,0.0182272712905845,0.0196658450779974,0,0.0496819424154633,0.0175175510905201,0,0.00687156965178315,0.0153068410992183,0,0.833131588413741
"SAM85f0a3ac1c45",0.016545052613945,0,0.0239018606441397,0,0.115963581114804,0.00502867550232002,0,0,0.00755790595598958,0,0.831002924168802
"SAM9d2494119c05",0.0123003653904566,0,0.0687108286527006,0,0.0873139394128554,0.0133338495287457,0,0,0.000847210746202847,0,0.817493806269039
"SAM5d989c86255e",0.0140020006464808,0,0.0192420446659934,0,0.187796068564207,0.00618672229392358,0,0,0.00329082140608262,0,0.769482342423313
"SAM49d48750e294",0.0229792137838379,0.015836414770669,0.040537438823373,0,0.102571764633922,0.0128541612632971,0,0,0.0194579949586752,0,0.785763011766226
"SAM7aa01fc49a80",0.0581266424521459,0.0115005145898437,0.061755250575106,0,0.149826052574154,0.0139383938618903,0,0.00620264536758461,0.0643070795244278,0,0.634343421054848
"SAMa321770ac31c",0.0164194043658397,0,0.0489248505960147,0,0.0542283763556282,0.0192271761833769,0.0215815976646191,0.00309655783939285,0,0,0.836522036995129
"SAM3894ac3956a5",0.0278656133950239,0,0.0347829157462019,0,0.138842481463892,0.00923360176916399,0,0.000963916400591489,0.00813655488531229,0,0.780174916339814
"SAM1c0ecfb3eb63",0.0309055878642912,0.023498668748536,0.031906702650057,0,0.0806113941775601,0.0122461449918692,0,0.00220249179258409,0.0365311260428414,0,0.782097883732261
"SAMbcb07ba81cee",0.0193399692266682,0,0.0226784566663995,0,0.199482779374784,0.00718135327511848,0,0.00298391144894255,0.00830846565682194,0,0.740025064351265
"SAM9aa6a095a9d6",0.0285438065942121,0.00420735787721312,0.0408946379553951,0,0.0738560587350032,0.0129225941086887,0,0.00320191921047025,0.0173613247710276,0,0.81901230074799
"SAM957378bd907f",0.178301012455259,0.0369376966586519,0.0391741752331769,0,0.0926261689927946,0.0267519484309354,0.121517315419141,0.0176045078693008,0.0471411643762055,0,0.439946010564535
"SAMf82bbdc267c8",0.0118383841270776,0,0.0323765697824513,0,0.147462181446652,0.00534055442312402,0,0,0.000587705602749389,0,0.802394604617946
